unigram chi:
off-just 1733
amaz 1733
gst 1733
cur 1733
video 1733
nois 1733
upsc 1733
stamp 1298
immigr 1298
acceiv 1154
mail 1154
check-in 1154
receipt 1154
immedy 1154
twin 1107
whatev 1038
lin 1023
saf 960
deposit 887
spee 865
wind 865
merch 865
ag 865
ahead 865
socy 865
transl 865
writ 865
self-explanatory 865
audio 865
dress 863
purchas 768
retail 768
claim 768
wednesday 740
refund 740
sleev 691
appropry 691
mast 691
lost 621
brand 615
map 613
valu 607
teochew 576
poss 576
focus 576
company 576
dirty 576
ter 576
handb 576
reb 576
ref 576
stomach 576
vanill 576
expery 576
muddy 576
vat 576
wish 576
rom 562
card 551
cit 493
seny 493
tuesday 493
tax 470
allow 460
nam 457
food 437
lord 432
contact 432
ourselv 432
cash 432
engl 432
horsesho 432
hardc 432
lo 432
bubbl 430
lass 430
doll 428
morn 419
roof 411
ez-link 404
standard 401
mix 381
machin 368
lunch 362
a.m. 353
minut 346
cle 345
culot 345
neck 345
grown 345
carty 345
toss 345
attir 345
shield 345
dressing-wise 345
sunglass 345
g2000 345
coach 345
twi 345
def 345
prad 345
bash 345
built 345
charl 345
awesom 345
whom 345
shirt 345
kne 345
t-shirt 345
skirt 345
forest 345
dat 345
scarf 345
squeeze-in 345
kei 345
tiny 345
balcony 345
cliff 345
bung 344
approach 344
gucc 344
afternoon 343
spicy 336
hour 336
hous 335
promot 327
ting 322
sign 303
cam 300
op 294
tanah 293
merah 293
passport 287
appear 287
perc 287
regard 287
via 287
flight 287
minim 287
entry 287
spac 287
pres 287
special 287
contain 287
puff 287
wherea 287
doughnut 287
guid 286
clear 286
pack 284
train 281
found 280
adult 277
red 275
jump 274
mad 271
ticket 271
chang 266
job 264
green 262
websit 257
form 254
lug 254
buy 254
laid 246
nomin 246
romantic. 246
refus 246
sal 246
barry 246
thursday 246
adjust 246
five-star 246
wom 246
grand 246
cert 246
pour 246
licens 246
book 246
sixteen 245
frequ 245
din 244
ont 244
ent 242
fee 234
switch 232
hundr 229
board 228
mrt 228
ion 228
bathroom 226
mov 224
leav 223
tea 221
shoph 217
bamboo 217
credit 215
provid 215
hear 215
streets 215
sit 215
thick 214
yogurt 214
fry 214
sour 214
teh 214
tarik 214
wi-f 213
saun 213
purpl 210
hist 208
item 207
dish 207
forty 203
drink 203
everytim 202
room 201
o'clock 198
exit 195
dialect 191
help 191
slight 191
count 191
cross 191
upon 191
chil 190
hot 188
cook 187
bus 185
stor 182
curry 182
conserv 180
norm 180
stat 180
breakfast 177
origin 175
east 174
affect 172
seafront 172
luxury 172
rop 172
prev 172
yeah 172
shor 172
flood 172
fal 172
confuc 172
rainw 172
hassl 172
atmosph 171
cod 171
soak 171
bath 171
known 171
%um. 171
research 171
bongo 171
mistak 171
overlook 171
prop 171
issu 171
dormit 171
bag 170
build 169
try 169
onlin 166
press 166
money 164
tak 164
dhoby 162
ghaut 162
lady 162
direct 160
sauc 158
fruit 158
hil 156
high 156
sev 154
p.m 154
wild 154
twelv 153
window 152
design 152
mam 150
architect 150
admit 150
restrict 148
intersect 146
fri 145
filipino 144
govern 143
fil 143
ha 143
mount 143
giveaway 143
famili 143
shar 143
tend 143
subway 142
ten 142
fridg 142
bedroom 142
chick 142
hair 142
spic 141
rot 141
cost 141
deep 141
prat 141
day 141
whe 141
from 139
narrow 136
undergo 136
ventil 136
meat 135
been 133
every 132
salesm 132
grandfath 132
era 132
struggle 132
independ 132
mermaid 132
see. 132
col 132
chill 132
inherit 132
unit 132
burn 132
request 132
shrine 132
mild 132
red-light 132
archipelago 132
print 132
king 132
remodel 132
dhal 132
becam 132
fed 132
cattl 132
merg 132
inter-married 132
bean 132
deer 132
fath 132
pre-war 132
record 132
yellow 131
surcharg 131
hit 131
transf 131
off-peak 131
a.m 131
daught 131
artefact 131
mer 130
west 130
crowd 129
back 128
approxim 128
sleep 125
men 122
beauty 122
amount 122
afric 122
driv 122
congest 122
concerto 122
yes. 122
wedn 122
up-close 122
jug 122
%that 122
weath 122
coincid 122
wherein 122
expatry 122
indee 122
confess 122
smoo 122
put 122
anyway 122
bear 122
seventeen 122
choos 122
monday 122
ten-fifteen 122
jealousy 121
gallery 121
europ 120
has 120
accord 120
alway 119
expend 118
coff 117
interchang 116
half 115
pay 115
western 114
mid-range 114
regul 114
chip 114
group 114
sult 114
singapur 114
cream 114
anybody 114
custom 114
doubl 114
pattern 114
below 114
airport 113
fifty 112
charg 112
pref 112
problem 112
nocturn 111
east-west 111
flo 109
cheap 109
wor 108
stinky 107
barbecu 107
chef 107
wing 107
rad 107
toast 107
beef 107
fork 107
tear 107
concoct 107
spo 107
mango 107
soy 107
gin 107
sound 107
oil 107
chop 107
pul 107
dough 107
murtabak 107
pand 107
tamarind 107
foam 107
fing 107
liqu 107
sardin 107
spoon 107
person 107
fragr 107
charco 107
ging 107
; 107
stock 107
breast 107
thigh 107
orangey 107
chapatt 107
tomato 107
satay 107
grat 107
rememb 107
bal 106
someon 106
liv 106
gravy 105
photograph 105
rojak 105
nor 104
year 104
pict 104
p.m. 103
join 103
sho 103
begin 103
right-hand 102
crab 102
fre 101
specy 100
chines 100
bread 100
lrt 100
malay 100
endem 100
chimpanz 100
denomin 100
ind 100
far 100
benefit 100
shipwreck 100
tap 100
tied 100
singpost 100
like-my 100
discount. 100
shel 100
rat 99
pric 99
elev 99
permit 97
cuisin 97
serv 97
unus 97
manufact 97
per 97
body 97
orchid 96
plants, 95
ordin 95
thirty. 95
harbourfront 95
tot 94
yet 94
produc 94
footprint 94
fab 94
perak 94
abov 94
larg 94
jewellery 94
broth 94
dry 93
internet 93
televid 93
sess 93
ac 93
pool 93
shelt 93
fiv 92
im 91
when 91
top 90
old 90
circ 90
vary 90
left-hand 90
much 89
down 89
repres 89
fit 88
with 88
eat 88
seash 85
wear 85
assum 85
jean 85
burg 85
avail 85
wheth 85
chain 85
skip 85
touch 85
squ 85
climbmax 85
overnight 85
reservoir 85
suit 85
espec 85
transport 85
settl 85
jam 85
nin 84
level 84
resta 83
easy 83
dip 83
chinatown 83
ad 83
stop 82
afford 82
off 82
their 81
priv 81
discount 81
prep 81
quiet 81
picn 81
understand 81
joint 81
lat 80
cak 80
vivo 80
naan 80
budget 80
pep 80
carrot 80
pancak 80
tast 79
midnight 77
saw 77
court 77
weekday 77
o 76
shuttl 76
shop 75
twenty 75
extr 75
tram 75
insid 75
confus 74
eighty-thirty 74
seem 74
coin 74
asid 74
random 74
leftov 74
whoev 74
card-like 74
dispos 74
facad 74
fad 74
heavy 74
remov 74
beforehand 74
overweight 74
spend 74
snap 74
bin 74
rul 74
rack 74
clark 74
elig 74
shrek 74
offend 74
view 74
'till 74
obvy 74
rac 73
many 73
convert 73
eight 73
herit 73
height 72
til 72
thirty 72
exhibit 72
horticult 71
kitch 71
wed 71
man 71
bathrob 71
channel 71
restroom 71
breezy 71
towel 71
flat 71
remot 71
hid 71
air-conditioning 71
workst 71
compat 71
slip 71
jacuzz 71
walk 71
cot 71
vc 71
lobby 71
heart 70
such 70
girl 70
worry 70
comfort 70
straight 70
%oh. 70
marry 70
between 69
tv 69
short 69
facil 69
subtl 68
cor 68
coo 68
born 68
kandah 68
cowboy 68
row 68
today 68
inside. 68
spacy 68
ant 68
everlast 68
influ 68
strait 68
auspicy 68
poor 68
microphon 68
engrav 68
6 68
ded 68
dragon 68
it. 68
labo 68
8 68
learnt 68
po 68
occupy 68
zhu 68
est 68
phoenix 68
cap 68
rickshaw 68
goddess 68
cubic 68
pagod 68
complex 67
for 67
was 67
happy 67
flash 67
t-shirts 67
husband 67
start 67
kind 67
singl 67
party 67
numb 66
eng 65
saik 65
wa 65
cow 65
three 65
malays 65
pasir 65
split 65
jungl 65
complet 65
kid 65
arab 65
desir 65
two-way 65
suspect 65
overview 65
swim 65
tig 65
outr 65
evolv 65
ab 65
ris 65
abl 65
titbit 65
tongu 65
everyon 65
indones 65
curv 65
allot 65
upward 65
%hm. 65
crisscross 65
keong 65
newest 65
infrastruct 65
fro 65
quantr 65
blangah 65
branch 65
toward 64
sid 64
mind 63
soup 63
no. 63
ev 63
littl 63
t 63
alloc 63
big 63
she 63
thousand 62
stand 62
chin 61
somerset 61
plant 61
hokky 60
tayoh 60
rain 60
jeal 60
five-minut 60
kilomet 60
snack 60
noun 60
hol 60
eg 60
oper 60
myself 60
develop 60
confirm 60
workshop 60
program 60
medicin 60
dant 60
find 60
abund 60
bark 60
moth 60
propos 60
repair 60
fibr 60
ling 60
chapat 60
cury 60
nick 60
send 60
wis 60
commun 60
cho 60
kerbau 60
grow 60
jok 60
adv 60
leak 60
detail 60
fourteen 59
stuff 59
hal 58
sunday 58
quay 58
'til 58
