unigram chi:
amaz 1733
gst 1733
cur 1733
video 1733
nois 1733
upsc 1733
stamp 1298
immigr 1298
acceiv 1154
mail 1154
receipt 1154
immedy 1154
twin 1107
whatev 1038
saf 960
lin 922
deposit 887
spee 865
wind 865
merch 865
ag 865
ahead 865
socy 865
transl 865
writ 865
audio 865
self 865
dress 863
rom 770
purchas 768
retail 768
claim 768
wednesday 740
refund 740
sleev 691
appropry 691
mast 691
lost 621
map 613
valu 607
teochew 576
poss 576
focus 576
company 576
dirty 576
ter 576
handb 576
reb 576
ref 576
stomach 576
vanill 576
expery 576
muddy 576
vat 576
wish 576
brand 574
card 551
cit 493
seny 493
tuesday 493
tax 470
allow 460
nam 457
food 437
lord 432
expl 432
contact 432
ourselv 432
cash 432
engl 432
horsesho 432
hardc 432
lo 432
bubbl 430
lass 430
doll 428
morn 419
roof 411
ez 404
standard 401
mix 381
machin 368
lunch 362
cle 345
culot 345
grown 345
carty 345
toss 345
attir 345
shield 345
sunglass 345
g2000 345
coach 345
twi 345
def 345
prad 345
bash 345
charl 345
awesom 345
whom 345
kne 345
skirt 345
forest 345
dat 345
scarf 345
neck 345
kei 345
tiny 345
balcony 345
cliff 345
bung 344
approach 344
gucc 344
afternoon 343
minut 340
spicy 336
hour 336
hous 335
promot 327
op 326
ting 322
sign 303
cam 300
tanah 293
merah 293
passport 287
appear 287
perc 287
cannot 287
regard 287
via 287
built 287
flight 287
minim 287
entry 287
spac 287
pres 287
special 287
contain 287
puff 287
wherea 287
doughnut 287
guid 286
clear 286
pack 284
train 281
found 280
adult 277
jump 274
mad 271
ticket 271
chang 266
job 264
red 263
green 262
websit 257
form 254
lug 254
buy 254
laid 246
nomin 246
refus 246
sal 246
barry 246
thursday 246
adjust 246
shouldn 246
wom 246
grand 246
cert 246
pour 246
licens 246
book 246
sixteen 245
frequ 245
east 244
din 244
ont 244
ent 242
fee 234
switch 232
hundr 229
board 228
mrt 228
shirt 228
ion 228
bathroom 226
mov 224
leav 223
west 221
tea 221
shoph 217
bamboo 217
credit 215
provid 215
hear 215
streets 215
thick 214
yogurt 214
fry 214
sour 214
teh 214
tarik 214
wi 213
saun 213
purpl 210
hist 208
item 207
dish 207
pm 207
forty 203
drink 203
everytim 202
am 202
room 201
clock 198
exit 195
dialect 191
help 191
slight 191
count 191
upon 191
chil 190
hot 188
cook 187
bus 185
stor 182
curry 182
conserv 180
norm 180
stat 180
breakfast 177
origin 175
link 175
affect 172
seafront 172
luxury 172
flood 172
rop 172
prev 172
yeah 172
shor 172
fal 172
confuc 172
rainw 172
sit 172
cross 172
hassl 172
atmosph 171
cod 171
soak 171
bath 171
research 171
bongo 171
mistak 171
overlook 171
prop 171
squeez 171
issu 171
dormit 171
bag 170
build 169
try 169
onlin 166
press 166
money 164
tak 164
dhoby 162
ghaut 162
lady 162
direct 160
fi 159
sauc 158
fruit 158
hil 156
sev 154
wild 154
twelv 153
window 152
design 152
mam 150
architect 150
admit 150
restrict 148
intersect 146
fri 145
filipino 144
govern 143
fil 143
ha 143
mount 143
giveaway 143
famili 143
shar 143
tend 143
star 143
subway 142
fridg 142
bedroom 142
chick 142
hair 142
spic 141
rot 141
cost 141
deep 141
prat 141
day 141
whe 141
from 139
ten 138
narrow 136
undergo 136
ventil 136
meat 135
nor 135
been 133
every 132
salesm 132
grandfath 132
era 132
struggle 132
independ 132
mermaid 132
col 132
chill 132
inherit 132
unit 132
burn 132
request 132
shrine 132
mild 132
pre 132
archipelago 132
print 132
king 132
remodel 132
dhal 132
becam 132
fed 132
high 132
cattl 132
merg 132
bean 132
deer 132
fath 132
record 132
int 132
yellow 131
surcharg 131
hit 131
transf 131
daught 131
artefact 131
mer 130
war 130
crowd 129
back 128
approxim 128
sleep 125
o 125
has 124
men 122
beauty 122
afric 122
driv 122
put 122
congest 122
concerto 122
wedn 122
jug 122
weath 122
coincid 122
wherein 122
expatry 122
indee 122
amount 122
confess 122
smoo 122
seventeen 122
anyway 122
bear 122
choos 122
monday 122
jealousy 121
gallery 121
europ 120
accord 120
alway 119
expend 118
coff 117
interchang 116
pay 115
western 114
regul 114
known 114
chip 114
group 114
sult 114
singapur 114
cream 114
anybody 114
custom 114
wis 114
pattern 114
below 114
airport 113
fifty 112
charg 112
pref 112
problem 112
nocturn 111
pric 110
flo 109
cheap 109
wor 108
stinky 107
barbecu 107
chef 107
wing 107
rad 107
toast 107
tamarind 107
beef 107
fork 107
tear 107
concoct 107
spo 107
mango 107
